iter	Passed	Remaining
0	18	9172
1	35	8940
2	51	8575
3	66	8272
4	83	8237
5	98	8123
6	111	7883
7	125	7703
8	138	7580
9	154	7550
10	166	7407
11	179	7306
12	190	7154
13	202	7018
14	212	6879
15	224	6781
16	236	6708
17	246	6612
18	257	6507
19	267	6430
20	278	6341
21	288	6257
22	298	6190
23	309	6139
24	321	6101
25	332	6056
26	342	6004
27	354	5968
28	364	5926
29	376	5904
30	388	5871
31	399	5842
32	410	5808
33	421	5775
34	431	5736
35	443	5712
36	454	5690
37	466	5667
38	478	5653
39	489	5634
40	501	5612
41	512	5593
42	525	5586
43	538	5577
44	549	5557
45	561	5543
46	573	5524
47	585	5516
48	597	5498
49	610	5494
50	623	5490
51	637	5490
52	650	5487
53	664	5485
54	678	5487
55	693	5495
56	708	5505
57	723	5513
58	738	5522
59	752	5516
60	767	5521
61	783	5532
62	799	5547
63	813	5544
64	827	5537
65	842	5536
66	857	5544
67	872	5542
68	887	5545
69	903	5551
70	919	5558
71	936	5568
72	952	5572
73	967	5569
74	984	5577
75	1000	5580
76	1013	5567
77	1029	5567
78	1044	5567
79	1063	5582
80	1082	5599
81	1101	5612
82	1118	5616
83	1135	5621
84	1150	5616
85	1167	5618
86	1183	5619
87	1199	5613
88	1219	5632
89	1239	5644
90	1258	5657
91	1278	5670
92	1296	5675
93	1315	5679
94	1331	5674
95	1344	5659
96	1362	5661
97	1381	5667
98	1400	5671
99	1415	5663
100	1429	5647
101	1445	5639
102	1465	5649
103	1483	5649
104	1501	5648
105	1518	5644
106	1534	5634
107	1551	5630
108	1571	5636
109	1591	5641
110	1608	5635
111	1625	5630
112	1641	5620
113	1660	5620
114	1679	5624
115	1695	5612
116	1712	5605
117	1732	5607
118	1753	5614
119	1771	5611
120	1791	5612
121	1812	5615
122	1830	5611
123	1846	5600
124	1863	5590
125	1880	5582
126	1894	5564
127	1910	5552
128	1929	5548
129	1945	5537
130	1963	5529
131	1980	5520
132	1997	5510
133	2014	5501
134	2033	5498
135	2048	5483
136	2066	5474
137	2080	5456
138	2093	5437
139	2107	5418
140	2125	5411
141	2141	5399
142	2157	5386
143	2173	5372
144	2186	5352
145	2200	5336
146	2219	5329
147	2237	5321
148	2253	5308
149	2271	5300
150	2288	5289
151	2305	5278
152	2325	5274
153	2344	5268
154	2364	5262
155	2382	5253
156	2400	5244
157	2417	5233
158	2432	5216
159	2450	5206
160	2468	5197
161	2486	5187
162	2508	5185
163	2527	5178
164	2545	5167
165	2560	5151
166	2577	5139
167	2594	5127
168	2612	5116
169	2629	5104
170	2644	5087
171	2659	5070
172	2674	5054
173	2691	5042
174	2711	5034
175	2729	5024
176	2745	5010
177	2765	5002
178	2780	4985
179	2798	4974
180	2815	4962
181	2833	4951
182	2850	4938
183	2867	4923
184	2882	4907
185	2897	4890
186	2911	4873
187	2924	4852
188	2939	4837
189	2958	4827
190	2975	4813
191	2992	4800
192	3011	4789
