iter	Passed	Remaining
0	16	10110
1	32	9688
2	47	9422
3	62	9303
4	77	9169
5	93	9226
6	108	9152
7	123	9138
8	138	9114
9	153	9054
10	168	8998
11	183	8990
12	198	8972
13	214	8980
14	230	8978
15	246	8980
16	261	8951
17	275	8897
18	289	8856
19	305	8851
20	321	8858
21	342	8999
22	363	9130
23	380	9123
24	398	9157
25	415	9179
26	432	9182
27	447	9147
28	462	9113
29	478	9100
30	494	9080
31	511	9077
32	526	9043
33	543	9044
34	558	9018
35	573	8985
36	590	8981
37	606	8962
38	621	8935
39	635	8895
40	651	8886
41	667	8874
42	683	8858
43	699	8841
44	716	8841
45	732	8826
46	748	8801
47	764	8786
48	780	8779
49	796	8759
50	810	8729
51	827	8715
52	841	8688
53	858	8677
54	873	8656
55	889	8637
56	905	8623
57	919	8591
58	934	8569
59	948	8539
60	963	8510
61	977	8485
62	992	8462
63	1007	8435
64	1021	8407
65	1036	8385
66	1050	8359
67	1065	8335
68	1079	8304
69	1093	8278
70	1107	8251
71	1121	8225
72	1135	8195
73	1148	8163
74	1162	8136
75	1177	8121
76	1191	8095
77	1206	8074
78	1220	8045
79	1234	8021
80	1248	8000
81	1263	7981
82	1278	7964
83	1300	7987
84	1318	7987
85	1336	7985
86	1352	7973
87	1369	7970
88	1384	7947
89	1398	7924
90	1411	7897
91	1425	7871
92	1439	7847
93	1452	7820
94	1466	7797
95	1480	7772
96	1494	7747
97	1507	7722
98	1521	7698
99	1534	7674
100	1549	7653
101	1563	7634
102	1578	7614
103	1592	7596
104	1611	7595
105	1629	7593
106	1648	7597
107	1665	7586
108	1681	7576
109	1696	7557
110	1710	7536
111	1726	7522
112	1741	7506
113	1757	7492
114	1773	7480
115	1791	7476
116	1807	7463
117	1826	7461
118	1844	7457
119	1861	7444
120	1875	7425
121	1891	7410
122	1905	7388
123	1918	7365
124	1932	7341
125	1945	7317
126	1957	7290
127	1971	7268
128	1985	7250
129	1999	7230
130	2015	7214
131	2029	7193
132	2042	7170
133	2054	7145
134	2068	7124
135	2081	7101
136	2095	7081
137	2108	7059
138	2122	7038
139	2135	7017
140	2149	6998
141	2163	6977
142	2176	6956
143	2190	6936
144	2203	6913
145	2217	6894
146	2231	6875
147	2243	6851
148	2256	6829
149	2270	6812
150	2283	6789
151	2296	6769
152	2310	6749
153	2323	6727
154	2336	6706
155	2348	6685
156	2361	6662
157	2373	6640
158	2387	6620
159	2399	6599
160	2412	6578
161	2427	6562
162	2441	6545
163	2456	6530
164	2469	6511
165	2482	6491
166	2496	6472
167	2508	6451
168	2520	6428
169	2533	6409
170	2547	6389
171	2560	6372
172	2574	6354
173	2588	6336
174	2601	6317
175	2613	6296
176	2626	6277
177	2639	6258
178	2653	6239
179	2667	6223
180	2680	6205
181	2694	6188
182	2708	6171
183	2721	6153
184	2740	6147
185	2759	6141
186	2780	6141
187	2795	6127
188	2814	6119
189	2830	6108
190	2847	6098
191	2862	6083
192	2883	6080
193	2902	6074
194	2921	6066
195	2937	6054
196	2953	6042
197	2969	6028
198	2982	6009
199	2997	5994
200	3011	5977
201	3024	5959
202	3038	5942
203	3051	5924
204	3066	5908
205	3080	5892
206	3093	5872
207	3107	5855
208	3120	5837
209	3135	5822
210	3148	5804
211	3162	5787
212	3175	5769
213	3188	5750
214	3200	5731
215	3215	5716
216	3229	5700
217	3241	5680
218	3255	5664
219	3269	5647
220	3283	5630
221	3296	5612
222	3308	5593
223	3320	5573
224	3333	5555
225	3346	5537
226	3359	5519
227	3372	5503
228	3386	5487
229	3400	5469
230	3412	5451
231	3426	5435
232	3439	5417
233	3451	5399
234	3465	5382
235	3478	5365
236	3492	5348
237	3505	5332
238	3519	5316
239	3533	5300
240	3547	5283
241	3562	5270
242	3576	5254
243	3591	5239
244	3604	5222
245	3617	5205
246	3631	5189
247	3643	5171
248	3657	5155
249	3670	5139
250	3683	5122
251	3696	5104
252	3707	5085
253	3719	5066
254	3730	5047
255	3742	5029
256	3755	5012
257	3767	4994
258	3781	4978
259	3794	4961
260	3806	4944
261	3818	4925
262	3829	4906
263	3840	4888
264	3853	4871
265	3867	4855
266	3879	4838
267	3893	4822
268	3905	4805
269	3918	4789
270	3931	4772
271	3942	4754
272	3956	4738
273	3969	4722
274	3982	4706
275	3995	4690
276	4008	4674
277	4021	4658
278	4033	4640
279	4046	4624
280	4058	4607
281	4071	4591
282	4083	4574
283	4096	4557
284	4106	4539
285	4118	4522
286	4135	4510
287	4151	4497
288	4166	4483
289	4182	4470
290	4196	4455
291	4208	4438
292	4220	4421
293	4231	4404
294	4243	4387
295	4255	4370
296	4266	4353
297	4278	4335
298	4292	4320
299	4302	4302
300	4315	4286
301	4328	4270
302	4340	4254
303	4353	4238
304	4365	4221
305	4376	4204
306	4388	4188
307	4399	4171
308	4411	4154
309	4423	4137
310	4434	4121
311	4446	4104
312	4459	4089
313	4470	4071
314	4482	4055
315	4492	4037
316	4504	4021
317	4516	4005
318	4528	3989
319	4540	3972
320	4552	3956
321	4564	3940
322	4577	3925
323	4589	3909
324	4600	3892
325	4613	3877
326	4625	3861
327	4636	3845
328	4648	3828
329	4659	3812
330	4672	3797
331	4684	3781
332	4694	3764
333	4706	3748
334	4717	3732
335	4729	3716
336	4742	3700
337	4754	3685
338	4766	3669
339	4777	3653
340	4789	3637
341	4800	3621
342	4811	3605
343	4823	3589
344	4836	3574
345	4847	3558
346	4860	3543
347	4871	3527
348	4884	3512
349	4896	3497
350	4908	3482
351	4921	3467
352	4932	3451
353	4945	3436
354	4957	3421
355	4970	3406
356	4982	3391
357	4995	3376
358	5007	3361
359	5019	3346
360	5033	3332
361	5046	3317
362	5059	3303
363	5073	3289
364	5085	3273
365	5099	3260
366	5113	3246
367	5127	3232
368	5140	3218
369	5155	3204
370	5169	3191
371	5182	3176
372	5195	3161
373	5208	3147
374	5219	3131
375	5232	3117
376	5245	3102
377	5258	3088
378	5271	3073
379	5284	3059
380	5296	3044
381	5309	3030
382	5321	3014
383	5337	3002
384	5349	2987
385	5362	2972
386	5375	2958
387	5394	2947
388	5410	2934
389	5427	2922
390	5441	2908
391	5456	2895
392	5470	2881
393	5484	2867
394	5497	2853
395	5510	2838
396	5523	2824
397	5536	2809
398	5549	2795
399	5563	2781
400	5576	2767
401	5589	2753
402	5603	2739
403	5617	2725
404	5629	2710
405	5644	2697
406	5658	2683
407	5671	2669
408	5685	2655
409	5698	2640
410	5714	2627
411	5726	2612
412	5739	2598
413	5753	2584
414	5767	2571
415	5781	2556
416	5795	2543
417	5808	2528
418	5822	2515
419	5838	2502
420	5850	2487
421	5863	2473
422	5875	2458
423	5890	2445
424	5904	2431
425	5917	2416
426	5930	2402
427	5943	2388
428	5956	2374
429	5969	2360
430	5982	2345
431	5995	2331
432	6007	2316
433	6020	2302
